,Current Market Cap,Last Price,Alpha,Beta,Revenue Growth Year over Year,ROA,ROE,Profit Margin,Asset Turnover,Financial Leverage,EBIT/Interest,Price Earnings Ratio (P/E),Price to Sales Ratio,Short and Long Term Debt,Total Equity,Operating Return on Total Invested Capital,Weighted Average Cost of Cap,Free Cash Flow,Price to Book Ratio,Industry Group,WACC Economic Value Added,Total Compensation Paid to Executives
A UN Equity,38380998115,128.49,0.127764717,0.993224025,18.35549728,12.07886579,25.36051029,19.14859946,0.626001055,1.981290197,16.62962963,31.0303944,5.935170671,2911,5389,18.38345865,9.270896787,1297,7.5006856,Electronics,536.8914812,30988527
AAL UW Equity,10535130835,16.22,-0.222211048,1.223408222,72.35969314,-6.118338846,#N/A N/A,-6.669566963,0.511179713,#N/A N/A,-0.588333333,#N/A N/A,0.302214396,46177,-7340,-3.810340125,6.36661296,496,#N/A N/A,Airlines,-3349.472532,22809261
AAP UN Equity,11565833822,190.73,0.098262772,0.928326905,8.822874318,6.332714249,23.57856834,5.602005967,0.925126165,3.593683157,22.19356461,15.98289401,1.082490783,3837.092,3128.291,12.53474619,7.809925243,822.623,4.004983805,Retail,110.6338896,20792255
AAPL UW Equity,2.353E+12,145.38,0.299396038,1.129532337,33.25938473,29.62394231,149.1901272,25.88179336,1.122436102,5.254965779,41.1905482,23.61328095,6.188950815,136522,63090,63.12958914,10.68667778,92953,34.9598112,Computers,87153.53134,206684918
ABBV UN Equity,2.60066E+11,147.17,0.321832359,0.723219037,22.69015806,11.3807267,111.4478712,20.53846291,0.386262734,10.43020643,7.397441189,15.67713998,4.597579593,77575,15436,19.61163919,7.041245057,21990,15.96945857,Pharmaceuticals,9508.364287,68054674
ABC UN Equity,30797499272,147.03,0.217093438,0.890333772,12.68861912,3.891975089,#N/A N/A,0.719631911,4.40347585,#N/A N/A,12.89660027,15.25218215,0.133156982,7805.431,584.411,28.65107731,7.984427931,2228.369,55.94745686,Pharmaceuticals,1888.699184,33282588
ABMD UW Equity,11949142478,262.25,-0.128755599,1.12526834,21.73760681,14.82019868,16.5713722,13.23039526,0.651410211,1.118161271,#N/A N/A,51.12827279,11.5516057,9.507,1503.326,9.945867397,10.75835036,249.627,7.945167083,Healthcare-Products,-60.20699753,32131551
ABT UN Equity,2.04107E+11,116.57,0.129489794,0.762829363,24.46544152,11.38786713,24.24048073,16.41555427,0.606490817,2.154142245,15.80675422,24.99332118,4.645928177,19251,36024,17.30033746,7.852778518,8648,5.765907006,Healthcare-Products,3290.751596,71253748
ACN UN Equity,2.02302E+11,304.95,0.138854638,1.041621566,14.00127358,15.16345078,32.88891519,11.68892314,1.345023663,2.196946564,128.1101493,30.74092865,3.408577187,3506.634,20097.114,42.41006907,10.01654966,8395.016,9.402499963,Computers,4408.299347,59762619
ADBE UW Equity,2.03062E+11,429.76,-0.14955543,1.172582626,22.66863537,18.93636258,35.32140015,30.5479886,0.633504052,1.836178326,51.34513274,42.69332421,12.6707406,4673,14797,33.89365352,11.23197162,6882,14.72571504,Software,3224.535281,114661970
ADI UW Equity,85892748067,165.24,0.056811132,1.027326226,30.61240152,10.38836778,15.26384667,18.99928481,0.269510441,1.476094322,9.155693223,21.30079554,8.094695352,7118.233,37992.542,6.311425428,9.504050902,2391.393,2.315182093,Semiconductors,-1070.095163,60878893
ADM UN Equity,49467641467,87.91,0.554475665,0.844491363,32.4667858,5.414890325,14.13706438,3.177749886,1.547239222,2.492054524,10.6754717,15.79982758,0.55187865,10581,22767,8.76557097,7.334398695,5426,2.086389514,Agriculture,-1229.935208,47821656
ADP UW Equity,92188441503,220.68,0.167317629,0.803302526,2.848565436,4.487307453,57.51974298,17.31709918,0.254714341,7.698799716,55.68844221,32.86936596,5.761732443,3446.4,5670.1,45.56545727,8.018833795,2914.7,22.01063057,Commercial Services,1847.109259,35888366
ADSK UW Equity,45273009356,208.37,-0.368963569,1.262309551,15.72393415,7.336432941,63.08707918,11.33047602,0.587057258,8.754877108,#N/A N/A,80.8653666,9.990146667,3060,849.1,25.14066968,11.10968965,1475.3,66.39690006,Software,241.8688067,43925439
AEE UN Equity,24082520198,93.31,0.113907322,0.622482061,10.35554021,2.925231206,10.64682917,15.48326556,0.19444525,3.635851486,3.480417755,23.9256404,3.579254792,13612,9829,5.859850461,5.725088013,-1875,2.456928551,Electric,256.4982262,22923630
